0.000,0.000,0.000,-2.000,0.000,0.000,-100.000,0.000,0.000,-1.561,0.000,0.000,-78.040
0.020,0.053,0.042,-1.974,2.638,2.109,1.319,1.209,1.128,0.922,60.425,56.405,124.148
0.040,0.105,0.084,-1.947,2.635,2.099,1.318,1.208,1.126,0.922,-0.021,-0.096,-0.030
0.060,0.158,0.126,-1.921,2.629,2.078,1.314,1.207,1.122,0.920,-0.041,-0.194,-0.060
0.080,0.210,0.167,-1.895,2.619,2.047,1.309,1.206,1.116,0.919,-0.062,-0.296,-0.090
0.100,0.263,0.207,-1.869,2.606,2.006,1.303,1.204,1.108,0.916,-0.083,-0.404,-0.120
0.120,0.314,0.246,-1.843,2.590,1.955,1.295,1.202,1.098,0.913,-0.105,-0.520,-0.151
0.140,0.366,0.284,-1.817,2.570,1.894,1.285,1.200,1.085,0.910,-0.127,-0.647,-0.183
0.160,0.417,0.320,-1.792,2.547,1.823,1.274,1.197,1.069,0.905,-0.150,-0.788,-0.215
0.180,0.467,0.355,-1.766,2.522,1.744,1.261,1.193,1.050,0.900,-0.174,-0.948,-0.247
0.200,0.517,0.388,-1.742,2.493,1.656,1.246,1.189,1.028,0.895,-0.198,-1.130,-0.281
0.220,0.566,0.419,-1.717,2.461,1.560,1.230,1.185,1.001,0.888,-0.224,-1.340,-0.316
0.240,0.615,0.449,-1.693,2.426,1.456,1.213,1.180,0.969,0.881,-0.251,-1.586,-0.352
0.260,0.662,0.475,-1.669,2.388,1.345,1.194,1.174,0.932,0.874,-0.280,-1.875,-0.389
0.280,0.709,0.500,-1.645,2.347,1.228,1.173,1.168,0.887,0.865,-0.310,-2.217,-0.427
0.300,0.755,0.522,-1.622,2.303,1.104,1.151,1.161,0.835,0.856,-0.343,-2.625,-0.467
0.320,0.801,0.542,-1.600,2.256,0.975,1.128,1.154,0.773,0.845,-0.377,-3.108,-0.509
0.340,0.845,0.558,-1.578,2.206,0.841,1.103,1.145,0.699,0.834,-0.414,-3.677,-0.552
0.360,0.888,0.572,-1.556,2.154,0.702,1.077,1.136,0.612,0.822,-0.454,-4.334,-0.597
0.380,0.930,0.584,-1.535,2.099,0.561,1.050,1.126,0.511,0.810,-0.498,-5.065,-0.645
0.400,0.971,0.592,-1.515,2.042,0.416,1.021,1.115,0.395,0.796,-0.544,-5.829,-0.694
0.420,1.010,0.597,-1.495,1.982,0.270,0.991,1.103,0.264,0.781,-0.595,-6.549,-0.747
0.440,1.049,0.600,-1.476,1.919,0.122,0.960,1.090,0.121,0.765,-0.651,-7.109,-0.801
0.460,1.086,0.599,-1.457,1.854,-0.027,0.927,1.076,-0.027,0.748,-0.712,-7.393,-0.859
0.480,1.121,0.596,-1.439,1.787,-0.175,0.893,1.061,-0.173,0.729,-0.779,-7.330,-0.919
0.500,1.156,0.589,-1.422,1.718,-0.322,0.859,1.044,-0.312,0.710,-0.853,-6.935,-0.982
0.520,1.189,0.580,-1.406,1.646,-0.468,0.823,1.025,-0.438,0.689,-0.935,-6.304,-1.048
0.540,1.220,0.568,-1.390,1.572,-0.612,0.786,1.004,-0.549,0.666,-1.025,-5.557,-1.117
0.560,1.250,0.553,-1.375,1.497,-0.752,0.748,0.982,-0.645,0.643,-1.126,-4.797,-1.188
0.580,1.278,0.535,-1.361,1.420,-0.889,0.710,0.957,-0.727,0.617,-1.238,-4.090,-1.263
0.600,1.305,0.515,-1.347,1.340,-1.021,0.670,0.930,-0.796,0.590,-1.363,-3.464,-1.340
0.620,1.330,0.492,-1.335,1.260,-1.149,0.630,0.900,-0.855,0.562,-1.502,-2.926,-1.420
0.640,1.354,0.466,-1.323,1.177,-1.270,0.589,0.867,-0.904,0.532,-1.658,-2.471,-1.501
0.660,1.376,0.438,-1.312,1.093,-1.386,0.547,0.830,-0.946,0.500,-1.831,-2.088,-1.585
0.680,1.396,0.409,-1.302,1.008,-1.494,0.504,0.790,-0.981,0.467,-2.024,-1.766,-1.668
0.700,1.414,0.377,-1.293,0.922,-1.595,0.461,0.745,-1.011,0.432,-2.238,-1.493,-1.752
0.720,1.431,0.343,-1.284,0.834,-1.689,0.417,0.695,-1.036,0.395,-2.472,-1.261,-1.835
0.740,1.446,0.307,-1.277,0.746,-1.774,0.373,0.641,-1.057,0.357,-2.728,-1.062,-1.916
0.760,1.459,0.270,-1.270,0.656,-1.850,0.328,0.581,-1.075,0.317,-3.001,-0.889,-1.993
0.780,1.471,0.232,-1.265,0.566,-1.917,0.283,0.515,-1.090,0.276,-3.288,-0.736,-2.065
0.800,1.480,0.193,-1.260,0.475,-1.974,0.237,0.443,-1.102,0.233,-3.581,-0.600,-2.131
0.820,1.488,0.152,-1.256,0.383,-2.022,0.192,0.366,-1.111,0.189,-3.867,-0.477,-2.189
0.840,1.494,0.111,-1.253,0.291,-2.059,0.146,0.283,-1.119,0.145,-4.132,-0.365,-2.238
0.860,1.497,0.069,-1.251,0.199,-2.087,0.099,0.196,-1.124,0.099,-4.358,-0.259,-2.277
0.880,1.500,0.027,-1.250,0.106,-2.104,0.053,0.106,-1.127,0.053,-4.526,-0.159,-2.303
0.900,1.500,-0.015,-1.250,0.013,-2.111,0.007,0.013,-1.128,0.007,-4.621,-0.062,-2.318
0.920,1.498,-0.057,-1.251,-0.080,-2.107,-0.040,-0.079,-1.128,-0.040,-4.633,0.034,-2.320
0.940,1.495,-0.099,-1.253,-0.172,-2.093,-0.086,-0.171,-1.125,-0.086,-4.561,0.131,-2.309
0.960,1.490,-0.140,-1.255,-0.265,-2.068,-0.132,-0.259,-1.120,-0.132,-4.413,0.230,-2.285
0.980,1.482,-0.181,-1.259,-0.357,-2.033,-0.179,-0.343,-1.114,-0.177,-4.202,0.334,-2.250
1.000,1.473,-0.221,-1.263,-0.449,-1.989,-0.224,-0.422,-1.105,-0.221,-3.946,0.444,-2.204
1.020,1.463,-0.260,-1.269,-0.540,-1.934,-0.270,-0.495,-1.094,-0.264,-3.664,0.564,-2.148
1.040,1.450,-0.297,-1.275,-0.631,-1.870,-0.315,-0.563,-1.080,-0.305,-3.372,0.696,-2.085
1.060,1.436,-0.333,-1.282,-0.720,-1.796,-0.360,-0.624,-1.063,-0.346,-3.082,0.843,-2.014
1.080,1.419,-0.367,-1.290,-0.809,-1.714,-0.405,-0.680,-1.043,-0.384,-2.804,1.010,-1.938
1.100,1.401,-0.400,-1.299,-0.897,-1.623,-0.448,-0.731,-1.019,-0.422,-2.543,1.201,-1.858
1.120,1.382,-0.430,-1.309,-0.984,-1.524,-0.492,-0.777,-0.990,-0.457,-2.303,1.423,-1.776
1.140,1.360,-0.458,-1.320,-1.069,-1.418,-0.535,-0.819,-0.956,-0.491,-2.083,1.683,-1.692
1.160,1.337,-0.485,-1.331,-1.153,-1.304,-0.577,-0.857,-0.917,-0.523,-1.884,1.990,-1.608
1.180,1.313,-0.508,-1.344,-1.236,-1.184,-0.618,-0.891,-0.870,-0.554,-1.705,2.355,-1.525
1.200,1.286,-0.529,-1.357,-1.317,-1.058,-0.659,-0.922,-0.814,-0.582,-1.545,2.788,-1.443
1.220,1.258,-0.548,-1.371,-1.397,-0.927,-0.699,-0.950,-0.748,-0.610,-1.401,3.301,-1.363
1.240,1.229,-0.564,-1.386,-1.475,-0.792,-0.737,-0.975,-0.670,-0.635,-1.272,3.902,-1.285
1.260,1.198,-0.577,-1.401,-1.551,-0.652,-0.776,-0.998,-0.578,-0.660,-1.157,4.588,-1.209
